MPN;SKU;Quantity;Price [zł/unit];Price [zł];In stock;Available
4680;485-4684;1;15.84;15.84;2610;True
61201021721;710-61201021721;3;2.52;7.5600000000000005;3493;True
970130324;710-970130324;2;2.6;5.2;4955;True
LSR976-NR-1;720-LSR976-NR-1;1;1.2;1.2;1129884;True
1N4148WS;512-1N4148WS;1;0.681;0.681;3188541;True
1206L050/15YR;576-1206L050/15YR;1;1.92;1.92;14417;True
742792040;710-742792040;1;0.841;0.841;564038;True
B3S-1000;653-B3S-1000;1;2.84;2.84;14635;True
A6H-4101;653-A6H-4101;1;13.8;13.8;7174;True
AZ1117IH-3.3TRG1;621-AZ1117IH-3.3TRG1;1;1.52;1.52;425016;True
STM32G030C8T6;511-STM32G030C8T6;1;9.43;9.43;2426;True
ECS-160-8-36CKM-TR3;520-160-8-36CKM-TR3;1;1.44;1.44;3018;True
